label_s,idHal_s,idHal_i,idrefId_s
Bruno Chareyre,bruno-chareyre,171808,https://www.idref.fr/076577635
J.P. Borra,289945,740082,https://www.idref.fr/060760168
G. Body,geraldine-body,13686,https://www.idref.fr/261003062
Joël Oudinet,joel-oudinet,737303,https://www.idref.fr/076412180
Véronique V. Jorge,veronique-jorge,736556,https://www.idref.fr/088765571
Arnaud A. Dowkiw,arnaud-dowkiw,745195,https://www.idref.fr/074200062
Lorène L. Prost,lorene-prost,736145,https://www.idref.fr/132233193
David D. Makowski,david-makowski,743045,https://www.idref.fr/155741101
Jocelyne J. Porcher,jocelyne-porcher,736951,https://www.idref.fr/06938200X
Philippe P. Lucas,philippe-lucas,741083,https://www.idref.fr/170280306
Charles C. Malbert,charles-henri-malbert,744790,https://www.idref.fr/032897847
Christian C. Bockstaller,christian-bockstaller,734945,https://www.idref.fr/094830606
Catherine C. Benjamin,catherine-benjamin,181895,https://www.idref.fr/034828443
Pascale P. Le Roy,psleroy,743069,https://www.idref.fr/057667950
Helene H. Fulcrand-Hoh,helene-fulcrand,736209,https://www.idref.fr/148342515
Sébastien Kramm,sebastien-kramm,173429,https://www.idref.fr/083568964
Céline Pascual-Espuny,celine-pascual-espuny,743677,https://www.idref.fr/121598772
Helene H. Chiapello,helene-chiapello,172673,https://www.idref.fr/225345390
Rejane R. Streiff,rejane-streiff,743139,https://www.idref.fr/204242894
Antoine A. Kremer,antoine-kremer,747402,https://www.idref.fr/071401008
Sylvie S. Oddou-Muratorio,sylvie-oddou-muratorio,746420,https://www.idref.fr/170162753
Etienne E. Klein,etienne-klein,184469,https://www.idref.fr/143486306
J.-F. Durand,christian-soize,4240,https://www.idref.fr/027142590
Marton Karsai,marton-karsai,2001,https://www.idref.fr/138471541
Caroline Champagne,caroline-champagne-de-labriolle,172407,https://www.idref.fr/224303171
T. Paquet,thierry-paquet,16353,https://www.idref.fr/068943229
L. Heutte,laurent-heutte,171701,https://www.idref.fr/143005863
Fabien P Blanchet,fblanchet,740295,https://www.idref.fr/199265410
. .,eliane-daphy,236,https://www.idref.fr/050679678
A. Ansan,veronique-ansan,177772,https://www.idref.fr/14300395X
Mylene Hardy,mylene-hardy,1065873,https://www.idref.fr/167718886
Stephane Marchal,stephane-marchal,18746,https://www.idref.fr/060835451
Jean Géringer,jean-geringer,745299,https://www.idref.fr/110519833
J.S. Sousa,joao-santos-sousa,180824,https://www.idref.fr/158600312
Cathy Liousse,catherine-liousse,741078,https://www.idref.fr/098186647
Stéphane Trébaol,strebaol,3212,https://www.idref.fr/149251122
Catherine C. Beaumont,catherine-beaumont,737305,https://www.idref.fr/110746481
Patrick P. Veysset,patrick-veysset,742559,https://www.idref.fr/244155852
Douadia D. Bougherara,douadia-bougherara,737033,https://www.idref.fr/077288068
Sandrine S. Costa,sandrine-costa,736074,https://www.idref.fr/057679789
Gilles G. Grolleau,gilles-grolleau,173592,https://www.idref.fr/069697175
Lisette L. Ibanez,lisette-ibanez,736477,https://www.idref.fr/083537872
Nicole N. Darmon,nicole-darmon,735854,https://www.idref.fr/126908583
Mathilde M. Causse,mathilde-causse,737384,https://www.idref.fr/078246423
Faucou Sébastien,sebastien-faucou,17420,https://www.idref.fr/077263847
Goupil Pascale,pascale-goupil,740618,https://www.idref.fr/189376139
Deboudt Philippe,philippe-deboudt,2180,https://www.idref.fr/086120484
A. Spiga,aymeric-spiga,20900,https://www.idref.fr/133298116
Pascale Paule Quilichini,pascale-quilichini,183846,https://www.idref.fr/088102300
Marie-Laure Plissonnier,marie-laure-plissonnier,762698,https://www.idref.fr/150881029
Erwann Bocquillon,erwann-bocquillon,741249,https://www.idref.fr/170010538
Ghislain Géniaux,ghislain-geniaux,737322,https://www.idref.fr/186345461
Claude Napoléone,claude-napoleone,738652,https://www.idref.fr/151762279
Agnes Begue,louise-leroux,9308,"https://www.idref.fr/166884553,https://www.idref.fr/146383745"
T. Conroy,thierry-conroy,736936,https://www.idref.fr/069112150
Marie Laure Plissonnier,marie-laure-plissonnier,762698,https://www.idref.fr/150881029
A. Whitbeck,gines-martinez,169952,https://www.idref.fr/068952961
. C. Joubert Éditeur,eliane-daphy,236,https://www.idref.fr/050679678
Michel S. Zygmunt,michel-zygmunt,745470,https://www.idref.fr/128650621
Bernard Flechet,bernard-flechet,172505,https://www.idref.fr/102939373
O. Dejardin,olivier-dejardin,20437,https://www.idref.fr/138784337
Nathalie Guerineau,nathalie-c-guerineau,172564,https://www.idref.fr/06998798X
Élodie Bouygues,elodie-bouygues,1125634,https://www.idref.fr/077170547
Audrey Coutens,audrey-coutens,739468,https://www.idref.fr/167181491
D. Lacroix,david-lacroix,12915,https://www.idref.fr/097395447
D. Lacroix,denis-lacroix,738488,https://www.idref.fr/130690481
Kati Lassila-Perini,nicolas-chanon,742432,https://www.idref.fr/235525227
R. Granier de Cassagnac,raphgrandecass,739189,https://www.idref.fr/132136651
Patrick A Curmi,patrick-curmi,177746,https://www.idref.fr/081161328
G. Piques,gael-piques,745640,https://www.idref.fr/088532852
J. van Der Woerd,jerome-van-der-woerd,182628,https://www.idref.fr/114439877
A. Juhin,amelie-juhin,739233,https://www.idref.fr/133641864
Bruno Torresani,bruno-torresani,5642,https://www.idref.fr/031794394
. Lucien Édition,eliane-daphy,236,https://www.idref.fr/050679678
Francois Menard,francois-menard,184556,https://www.idref.fr/035533919
Jean Luc Beuzit,jean-luc-beuzit,742602,https://www.idref.fr/143853015
. F. Bigot Éditeur,eliane-daphy,236,https://www.idref.fr/050679678
J. Plailly,jane-plailly,1192755,https://www.idref.fr/110067266
P. Picart,pascal-picart,180353,https://www.idref.fr/113450109
N. Burokur,burokur,11297,https://www.idref.fr/098310518
S.N. Burokur,burokur,11297,https://www.idref.fr/098310518
Françoise F. Massines,francoise-massines,180008,https://www.idref.fr/032941862
Denise Ravachol Orange,denise-orange-ravachol,16644,https://www.idref.fr/075679248
Alexandre Laisné,alexandre-laisne,180483,https://www.idref.fr/100478387
Y. Bedjanian,bedjanian,184545,https://www.idref.fr/130567426
Luis M Mir,lluis-m-mir,741790,https://www.idref.fr/069995877
Ludovic Brèthes,ludovic-brethes,740037,https://www.idref.fr/117015431
J. Riedi.,jerome-riedi,174518,https://www.idref.fr/059848235
N. Fernandez,nicolas-fernandez-nunez,12243,https://www.idref.fr/191335517
. L. Bathlot Éditeur,eliane-daphy,236,https://www.idref.fr/050679678
. Répertoire Paulus,eliane-daphy,236,https://www.idref.fr/050679678
. Delormel & Cie Éditeurs,eliane-daphy,236,https://www.idref.fr/050679678
M. Thyssen,melilotus-thyssen,19953,https://www.idref.fr/127365613
P. Claquin,pascal-claquin,181237,https://www.idref.fr/080269907
M. Grandgeorge,marine-grandgeorge,8304,https://www.idref.fr/157921751
O. Maciejak,olek-maciejak,173812,https://www.idref.fr/253125340
B. Schoefs,benoit-schoefs,181934,https://www.idref.fr/122198247
J.-L. Mouget,jean-luc-mouget,15427,https://www.idref.fr/160475570
M. Sedrati,mouncef-sedrati,179756,https://www.idref.fr/115669604
C. Piscart,christophe-piscart,177623,https://www.idref.fr/095783016
Thomas Cerqueus,thomas-cerqueus,4386,https://www.idref.fr/169902013
Amel Ben Rhouma,amel-ben-rhouma,1260023,https://www.idref.fr/121820866
Amir Pasha Mirbaha,amir-pasha-mirbaha,1655,https://www.idref.fr/170656608
F. Dolique,franck-dolique,183932,https://www.idref.fr/09043174X
J. B de Vivie,jean-baptiste-de-vivie,741567,https://www.idref.fr/186392702
J.L. Mouget,jean-luc-mouget,15427,https://www.idref.fr/160475570
A. Rovelet-Lecrux,anne-rovelet-lecrux,178525,https://www.idref.fr/127676732
Lars Stemmann,lars-stemmann,762924,https://www.idref.fr/157238024
Pierre Béjot,pierrebejot,739035,https://www.idref.fr/228389054
Frederic Rieux-Laucat,frederic-rieux-laucat,1062914,https://www.idref.fr/086828509
Emeric Henry,emeric-henry,1114203,https://www.idref.fr/224319914
P. Gaborit,paul-gaborit,19889,https://www.idref.fr/196930839
G. Lipeme Kouyi,gislainlipeme-kouyi,19162,https://www.idref.fr/096266821
Benoit Palancade,benoit-palancade,738471,https://www.idref.fr/071046380
B. Normand M.P. Gigandet C. Richard P. Steyer M. Wery,philippe-steyer,21303,https://www.idref.fr/081227272
J.M. Monnet,jean-matthieumonnet,4558,https://www.idref.fr/156959569
C. Yang J. Buldyreva I.E. Gordon F. Rohart A. Cuisset G. Mouret R. Bocquet F. Hindle,acuisset,744427,https://www.idref.fr/083810854
Christine Verna,christine-verna,741686,https://www.idref.fr/116466251
C.-S. Cojocaru,costel-sorin-cojocaru,178299,https://www.idref.fr/080831087
